# Region type : patch pressure_outlet
# Faces       : 11534
# Area        : 3.696967e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
418           	(2.780332e-06 -5.963186e-06 9.998720e-04)
419           	(2.780095e-06 -5.899429e-06 9.998394e-04)
420           	(2.770522e-06 -5.872151e-06 9.998343e-04)
421           	(2.767717e-06 -5.858604e-06 9.998465e-04)
422           	(2.757889e-06 -5.838977e-06 9.998629e-04)
423           	(2.747063e-06 -5.810365e-06 9.998769e-04)
424           	(2.739618e-06 -5.775922e-06 9.998861e-04)
425           	(2.731809e-06 -5.737366e-06 9.998909e-04)
426           	(2.725517e-06 -5.697832e-06 9.998912e-04)
427           	(2.717054e-06 -5.622552e-06 9.998884e-04)
428           	(2.725093e-06 -5.581742e-06 9.999672e-04)
429           	(2.697407e-06 -5.605325e-06 9.999324e-04)
430           	(2.703824e-06 -5.515225e-06 9.998691e-04)
431           	(2.703856e-06 -5.456528e-06 9.998398e-04)
432           	(2.699536e-06 -5.435790e-06 9.998370e-04)
433           	(2.689286e-06 -5.423371e-06 9.998501e-04)
434           	(2.677022e-06 -5.407181e-06 9.998661e-04)
435           	(2.669938e-06 -5.384080e-06 9.998784e-04)
436           	(2.662082e-06 -5.353012e-06 9.998868e-04)
437           	(2.657261e-06 -5.318870e-06 9.998908e-04)
438           	(2.648619e-06 -5.282246e-06 9.998913e-04)
439           	(2.640955e-06 -5.211698e-06 9.998891e-04)
440           	(2.649585e-06 -5.175130e-06 9.999680e-04)
441           	(2.616793e-06 -5.200318e-06 9.999342e-04)
442           	(2.621925e-06 -5.113983e-06 9.998709e-04)
443           	(2.620413e-06 -5.058393e-06 9.998414e-04)
444           	(2.613065e-06 -5.039213e-06 9.998381e-04)
445           	(2.603881e-06 -5.030494e-06 9.998507e-04)
446           	(2.599028e-06 -5.019085e-06 9.998662e-04)
447           	(2.593001e-06 -4.998628e-06 9.998788e-04)
